lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area
01_GE,833.0,454.0,1853.0,1476.0,302.0,2539.0,4292.0,2651.0,892.0,4002.0,2398.0,2804.0,1510.0,2896.0,591.0,1147.0,1611.0,520.0,1023.0,1345.0,3393.0,995.0,3712.0,3099.0,538.0,4005.0,6476.0,4408.0,2657.0,3256.0,218.0,431.0,320.0,1943.0,70590.0
01_Ph,846.0,452.0,1857.0,1439.0,372.0,2615.0,4232.0,2638.0,839.0,4019.0,2241.0,2735.0,1546.0,2897.0,576.0,1202.0,1638.0,559.0,1031.0,1252.0,3363.0,1014.0,3707.0,3161.0,485.0,3973.0,6528.0,4409.0,2545.0,3095.0,209.0,453.0,295.0,1913.0,70137.8
01_Si,926.0,436.0,1703.0,1493.0,405.0,2701.0,3990.0,2698.0,811.0,3807.0,2307.0,2710.0,1435.0,2646.0,637.0,1152.0,1558.0,502.0,1126.0,1326.0,3453.0,987.0,3698.0,3088.0,513.0,4224.0,6496.0,4334.0,2626.0,3179.0,182.0,443.0,284.0,2015.0,69890.9
02_GE,828.0,483.0,1771.0,1467.0,345.0,2635.0,4068.0,2661.0,942.0,3988.0,2524.0,2779.0,1324.0,3084.0,627.0,1133.0,1652.0,531.0,1111.0,1369.0,3409.0,1004.0,3772.0,3117.0,515.0,4087.0,6503.0,4520.0,2518.0,3294.0,221.0,446.0,314.0,1973.0,71014.2
02_Ph,839.0,458.0,1853.0,1440.0,341.0,2631.0,4175.0,2752.0,882.0,3923.0,2233.0,2773.0,1382.0,3010.0,602.0,1206.0,1682.0,529.0,1049.0,1276.0,3401.0,1004.0,3769.0,3125.0,564.0,4136.0,6514.0,4405.0,2540.0,3181.0,203.0,454.0,292.0,1920.0,70545.2
02_Si,796.0,466.0,1741.0,1499.0,341.0,2553.0,4032.0,2674.0,867.0,3853.0,2336.0,2851.0,1404.0,2898.0,604.0,1203.0,1589.0,531.0,1044.0,1356.0,3342.0,988.0,3793.0,3173.0,616.0,4208.0,6415.0,4305.0,2698.0,3175.0,194.0,437.0,282.0,2005.0,70267.5
03_GE,858.0,462.0,1768.0,1457.0,327.0,2745.0,4031.0,2594.0,877.0,3778.0,2241.0,2804.0,1372.0,2917.0,661.0,1142.0,1626.0,550.0,1076.0,1364.0,3349.0,997.0,3832.0,3109.0,522.0,4151.0,6586.0,4384.0,2503.0,3236.0,159.0,445.0,279.0,1818.0,70018.4
03_Ph,895.0,471.0,1830.0,1504.0,333.0,2652.0,4357.0,2560.0,931.0,4037.0,2296.0,2822.0,1326.0,2969.0,620.0,1235.0,1611.0,544.0,1086.0,1293.0,3479.0,1001.0,3704.0,3176.0,593.0,4162.0,6513.0,4508.0,2585.0,3178.0,185.0,445.0,296.0,1865.0,71061.1
03_Si,898.0,439.0,1680.0,1511.0,341.0,2646.0,4305.0,2578.0,810.0,3982.0,2254.0,2731.0,1494.0,2831.0,585.0,1120.0,1575.0,531.0,1111.0,1368.0,3267.0,972.0,3597.0,2999.0,492.0,3949.0,6163.0,4707.0,2618.0,3345.0,193.0,425.0,267.0,1901.0,69686.3
04_GE,902.0,459.0,1872.0,1505.0,320.0,2500.0,4202.0,2633.0,847.0,4075.0,2431.0,2785.0,1461.0,3018.0,586.0,1150.0,1629.0,529.0,1096.0,1379.0,3415.0,977.0,3915.0,3098.0,587.0,4192.0,6596.0,4417.0,2579.0,3296.0,171.0,526.0,269.0,1922.0,71339.5
04_Ph,857.0,485.0,1882.0,1480.0,301.0,2624.0,4200.0,2643.0,973.0,3990.0,2262.0,2808.0,1491.0,2977.0,607.0,1230.0,1642.0,524.0,1097.0,1296.0,3464.0,996.0,3783.0,3181.0,608.0,4138.0,6485.0,4421.0,2645.0,3253.0,191.0,504.0,285.0,1946.0,71268.5
04_Si,851.0,464.0,1896.0,1467.0,349.0,2659.0,4334.0,2693.0,846.0,4116.0,2301.0,2724.0,1376.0,2919.0,576.0,1166.0,1639.0,536.0,1057.0,1401.0,3409.0,961.0,3767.0,3098.0,526.0,4052.0,6553.0,4503.0,2673.0,3310.0,205.0,478.0,299.0,2029.0,71234.1
05_GE,830.0,490.0,1869.0,1494.0,334.0,2530.0,4539.0,2857.0,825.0,4038.0,2400.0,2770.0,1452.0,3120.0,570.0,1167.0,1627.0,586.0,1108.0,1331.0,3337.0,1006.0,3853.0,3177.0,525.0,4126.0,6686.0,4593.0,2536.0,3315.0,177.0,447.0,280.0,1984.0,71977.8
05_Ph,858.0,454.0,1823.0,1501.0,358.0,2464.0,4291.0,2604.0,870.0,3978.0,2238.0,2730.0,1403.0,2941.0,564.0,1204.0,1594.0,547.0,1073.0,1280.0,3405.0,1065.0,3747.0,3141.0,557.0,4169.0,6511.0,4342.0,2596.0,3177.0,189.0,516.0,279.0,1856.0,70325.6
06_GE,754.0,450.0,1764.0,1540.0,351.0,2778.0,4164.0,2833.0,809.0,3896.0,2348.0,2858.0,1465.0,2919.0,692.0,1181.0,1618.0,588.0,1095.0,1329.0,3364.0,1000.0,3953.0,3151.0,568.0,4110.0,6394.0,4387.0,2550.0,3246.0,191.0,447.0,273.0,1864.0,70932.5
06_Si,806.0,471.0,1817.0,1473.0,405.0,2774.0,4189.0,2698.0,869.0,4025.0,2227.0,2755.0,1333.0,2836.0,598.0,1187.0,1577.0,548.0,1112.0,1331.0,3338.0,1016.0,3759.0,3102.0,607.0,4192.0,6310.0,4468.0,2630.0,3342.0,195.0,477.0,306.0,1950.0,70725.0
