lh.aparc.area,lh_bankssts_area,lh_caudalanteriorcingulate_area,lh_caudalmiddlefrontal_area,lh_cuneus_area,lh_entorhinal_area,lh_fusiform_area,lh_inferiorparietal_area,lh_inferiortemporal_area,lh_isthmuscingulate_area,lh_lateraloccipital_area,lh_lateralorbitofrontal_area,lh_lingual_area,lh_medialorbitofrontal_area,lh_middletemporal_area,lh_parahippocampal_area,lh_paracentral_area,lh_parsopercularis_area,lh_parsorbitalis_area,lh_parstriangularis_area,lh_pericalcarine_area,lh_postcentral_area,lh_posteriorcingulate_area,lh_precentral_area,lh_precuneus_area,lh_rostralanteriorcingulate_area,lh_rostralmiddlefrontal_area,lh_superiorfrontal_area,lh_superiorparietal_area,lh_superiortemporal_area,lh_supramarginal_area,lh_frontalpole_area,lh_temporalpole_area,lh_transversetemporal_area,lh_insula_area,lh_WhiteSurfArea_area
01_GE.long.GE,859.0,457.0,1836.0,1404.0,384.0,2703.0,4316.0,2829.0,842.0,4073.0,2503.0,2839.0,1550.0,3092.0,617.0,1181.0,1622.0,601.0,1120.0,1386.0,3436.0,1035.0,3908.0,3132.0,564.0,4141.0,6652.0,4601.0,2664.0,3393.0,201.0,493.0,291.0,1948.0,72668.7
01_Ph.long.Ph,817.0,488.0,1894.0,1457.0,320.0,2701.0,4223.0,2738.0,891.0,4060.0,2355.0,2826.0,1432.0,2923.0,618.0,1260.0,1658.0,576.0,1088.0,1340.0,3518.0,1032.0,3786.0,3127.0,629.0,4139.0,6657.0,4452.0,2554.0,3310.0,207.0,509.0,291.0,2046.0,71923.5
01_Si.long.Si,901.0,471.0,1853.0,1591.0,260.0,2716.0,4137.0,2659.0,876.0,3985.0,2337.0,2657.0,1315.0,2673.0,536.0,1169.0,1637.0,595.0,1067.0,1378.0,3440.0,1013.0,3775.0,3155.0,566.0,4247.0,6496.0,4558.0,2749.0,3369.0,205.0,412.0,283.0,2002.0,71085.6
02_GE.long.GE,861.0,463.0,1855.0,1420.0,387.0,2767.0,4364.0,2843.0,877.0,4236.0,2525.0,2864.0,1514.0,3107.0,616.0,1208.0,1647.0,617.0,1126.0,1405.0,3488.0,1058.0,3965.0,3164.0,559.0,4218.0,6811.0,4626.0,2687.0,3461.0,191.0,502.0,291.0,1974.0,73698.9
02_Ph.long.Ph,829.0,499.0,1923.0,1438.0,314.0,2657.0,4250.0,2719.0,880.0,3982.0,2369.0,2783.0,1440.0,2934.0,631.0,1205.0,1684.0,551.0,1099.0,1323.0,3445.0,1027.0,3800.0,3129.0,631.0,4160.0,6739.0,4460.0,2556.0,3381.0,202.0,491.0,298.0,2061.0,71889.4
02_Si.long.Si,883.0,471.0,1851.0,1640.0,248.0,2740.0,4162.0,2736.0,806.0,4120.0,2371.0,2750.0,1384.0,2711.0,543.0,1167.0,1646.0,604.0,1069.0,1425.0,3478.0,1016.0,3795.0,3143.0,565.0,4322.0,6546.0,4590.0,2768.0,3383.0,214.0,496.0,280.0,2022.0,71944.7
03_GE.long.GE,862.0,459.0,1844.0,1402.0,339.0,2688.0,4317.0,2807.0,798.0,4060.0,2460.0,2765.0,1573.0,3014.0,593.0,1184.0,1612.0,593.0,1122.0,1362.0,3492.0,1037.0,3925.0,3131.0,544.0,4162.0,6738.0,4593.0,2663.0,3423.0,195.0,437.0,296.0,1928.0,72417.0
03_Ph.long.Ph,818.0,498.0,1886.0,1461.0,315.0,2711.0,4236.0,2747.0,917.0,4098.0,2374.0,2867.0,1424.0,2973.0,625.0,1206.0,1665.0,572.0,1100.0,1340.0,3533.0,1031.0,3830.0,3128.0,647.0,4180.0,6669.0,4465.0,2569.0,3375.0,197.0,507.0,304.0,2028.0,72296.9
03_Si.long.Si,906.0,447.0,1830.0,1641.0,250.0,2825.0,4301.0,2841.0,876.0,4300.0,2382.0,2725.0,1514.0,2776.0,531.0,1137.0,1614.0,593.0,1080.0,1416.0,3383.0,993.0,3683.0,3163.0,560.0,4196.0,6236.0,4631.0,2769.0,3416.0,218.0,457.0,290.0,2051.0,72032.7
04_GE.long.GE,856.0,458.0,1855.0,1409.0,337.0,2711.0,4319.0,2830.0,847.0,4157.0,2479.0,2899.0,1546.0,3037.0,606.0,1187.0,1639.0,597.0,1125.0,1415.0,3456.0,1043.0,3926.0,3133.0,568.0,4172.0,6747.0,4569.0,2675.0,3394.0,178.0,477.0,287.0,1962.0,72896.1
