lh.aparc.thickness,lh_bankssts_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_transversetemporal_thickness,lh_insula_thickness,lh_MeanThickness_thickness
01_GE,2.302,2.573,2.393,1.462,3.172,2.663,2.334,2.554,2.207,2.026,2.449,1.643,2.508,2.615,2.926,2.431,2.479,2.763,2.179,1.439,2.075,2.557,2.533,2.158,3.171,2.29,2.553,2.145,2.576,2.352,2.888,3.884,2.288,2.77,2.3401
01_Ph,2.12,2.327,2.02,1.45,2.896,2.379,2.078,2.358,2.043,1.845,2.448,1.662,2.045,2.482,2.562,2.124,2.191,2.542,2.06,1.452,1.824,2.331,2.258,1.853,2.837,1.949,2.263,1.819,2.364,2.103,2.672,3.532,2.18,2.699,2.11715
01_Si,2.21,2.736,2.395,1.393,2.913,2.409,2.181,2.511,1.928,1.867,2.581,1.649,2.38,2.656,2.656,2.274,2.345,2.772,2.107,1.365,2.029,2.494,2.56,1.964,3.044,2.27,2.561,2.03,2.6,2.314,2.854,3.655,2.428,2.777,2.28181
02_GE,2.282,2.477,2.387,1.548,3.366,2.616,2.332,2.665,2.151,1.927,2.394,1.68,2.545,2.769,2.664,2.46,2.406,2.755,2.187,1.561,2.078,2.489,2.52,2.131,3.216,2.298,2.527,2.094,2.624,2.355,3.056,3.764,2.423,2.793,2.33796
02_Ph,2.192,2.454,2.17,1.43,2.945,2.447,2.081,2.412,2.042,1.795,2.47,1.617,2.106,2.472,2.64,2.14,2.156,2.606,2.101,1.455,1.847,2.383,2.269,1.887,2.696,2.077,2.31,1.825,2.453,2.148,2.625,3.672,2.19,2.711,2.14637
02_Si,2.221,2.799,2.296,1.456,3.028,2.452,2.155,2.48,2.012,1.935,2.514,1.603,2.333,2.619,2.694,2.331,2.376,2.731,2.251,1.412,1.999,2.411,2.498,1.962,2.972,2.239,2.468,1.995,2.609,2.307,2.842,3.9,2.513,2.784,2.26757
03_GE,2.193,2.521,2.396,1.587,2.897,2.572,2.321,2.448,2.254,1.954,2.583,1.682,2.44,2.731,2.723,2.407,2.466,2.708,2.178,1.597,2.116,2.528,2.451,2.131,3.246,2.293,2.539,2.152,2.591,2.326,2.997,3.54,2.389,2.919,2.33549
03_Ph,2.204,2.542,2.219,1.454,3.059,2.433,2.103,2.463,2.002,1.819,2.446,1.601,2.261,2.563,2.713,2.234,2.235,2.535,2.092,1.419,1.842,2.288,2.338,1.9,2.865,2.024,2.34,1.83,2.387,2.185,2.658,3.508,2.296,2.73,2.1606
03_Si,2.397,2.697,2.306,1.441,2.985,2.655,2.269,2.562,2.09,1.944,2.545,1.663,2.39,2.746,2.799,2.237,2.449,2.748,2.203,1.333,2.002,2.379,2.52,1.986,3.137,2.25,2.52,2.007,2.639,2.419,2.877,3.79,2.438,2.666,2.30103
04_GE,2.245,2.415,2.374,1.553,2.868,2.584,2.322,2.544,2.259,1.966,2.416,1.614,2.331,2.671,2.948,2.281,2.386,2.748,2.162,1.551,2.121,2.569,2.431,2.079,3.024,2.254,2.484,2.084,2.598,2.396,2.916,3.698,2.445,2.749,2.30571
