lh.aparc.thickness,lh_bankssts_thickness,lh_caudalanteriorcingulate_thickness,lh_caudalmiddlefrontal_thickness,lh_cuneus_thickness,lh_entorhinal_thickness,lh_fusiform_thickness,lh_inferiorparietal_thickness,lh_inferiortemporal_thickness,lh_isthmuscingulate_thickness,lh_lateraloccipital_thickness,lh_lateralorbitofrontal_thickness,lh_lingual_thickness,lh_medialorbitofrontal_thickness,lh_middletemporal_thickness,lh_parahippocampal_thickness,lh_paracentral_thickness,lh_parsopercularis_thickness,lh_parsorbitalis_thickness,lh_parstriangularis_thickness,lh_pericalcarine_thickness,lh_postcentral_thickness,lh_posteriorcingulate_thickness,lh_precentral_thickness,lh_precuneus_thickness,lh_rostralanteriorcingulate_thickness,lh_rostralmiddlefrontal_thickness,lh_superiorfrontal_thickness,lh_superiorparietal_thickness,lh_superiortemporal_thickness,lh_supramarginal_thickness,lh_frontalpole_thickness,lh_temporalpole_thickness,lh_transversetemporal_thickness,lh_insula_thickness,lh_MeanThickness_thickness
01_GE.long.GE,2.344,2.607,2.397,1.617,3.167,2.653,2.404,2.592,2.226,2.065,2.385,1.737,2.467,2.644,2.737,2.51,2.471,2.736,2.193,1.592,2.187,2.615,2.546,2.22,3.02,2.317,2.57,2.178,2.701,2.442,2.867,3.619,2.47,2.794,2.38351
01_Ph.long.Ph,2.248,2.386,2.085,1.581,2.941,2.497,2.172,2.412,2.048,1.886,2.421,1.719,2.148,2.512,2.644,2.116,2.262,2.516,2.129,1.541,1.842,2.339,2.331,1.941,2.766,2.009,2.27,1.902,2.441,2.183,2.606,3.559,2.339,2.655,2.17156
01_Si.long.Si,2.384,2.712,2.398,1.509,2.791,2.376,2.271,2.41,1.902,1.942,2.477,1.682,2.405,2.606,2.56,2.394,2.442,2.71,2.227,1.517,2.146,2.471,2.639,2.092,2.907,2.257,2.537,2.092,2.687,2.419,2.909,3.485,2.488,2.755,2.31225
02_GE.long.GE,2.37,2.562,2.419,1.617,3.1,2.643,2.372,2.615,2.183,1.979,2.45,1.726,2.496,2.658,2.792,2.435,2.437,2.739,2.228,1.554,2.153,2.557,2.54,2.204,3.141,2.296,2.519,2.135,2.689,2.418,2.992,3.63,2.412,2.777,2.36441
02_Ph.long.Ph,2.233,2.346,2.213,1.551,2.885,2.486,2.151,2.393,2.022,1.86,2.443,1.741,2.185,2.511,2.59,2.256,2.292,2.607,2.161,1.584,1.934,2.391,2.357,1.97,2.593,2.11,2.339,1.934,2.521,2.191,2.684,3.489,2.313,2.749,2.20213
02_Si.long.Si,2.237,2.596,2.312,1.414,2.886,2.395,2.163,2.365,1.928,1.86,2.432,1.585,2.369,2.553,2.558,2.38,2.369,2.652,2.16,1.427,2.044,2.421,2.585,2.015,2.745,2.183,2.446,2.012,2.646,2.333,2.851,3.716,2.459,2.67,2.24357
03_GE.long.GE,2.331,2.464,2.404,1.656,3.036,2.566,2.369,2.533,2.294,2.028,2.386,1.757,2.443,2.636,2.721,2.453,2.463,2.769,2.189,1.703,2.176,2.535,2.549,2.186,3.116,2.295,2.506,2.158,2.666,2.394,2.956,3.799,2.379,2.814,2.36205
03_Ph.long.Ph,2.288,2.473,2.261,1.575,2.913,2.541,2.182,2.463,2.064,1.854,2.46,1.707,2.284,2.572,2.648,2.326,2.364,2.599,2.206,1.566,1.91,2.387,2.398,2.044,2.866,2.103,2.397,1.975,2.531,2.242,2.698,3.577,2.355,2.75,2.23686
03_Si.long.Si,2.405,2.636,2.331,1.509,2.721,2.527,2.322,2.557,1.951,1.978,2.464,1.682,2.317,2.715,2.749,2.296,2.475,2.717,2.215,1.552,2.096,2.475,2.548,2.098,2.849,2.247,2.462,2.091,2.712,2.457,2.851,3.834,2.458,2.694,2.3175
04_GE.long.GE,2.371,2.572,2.441,1.618,3.035,2.681,2.395,2.612,2.206,2.006,2.415,1.696,2.417,2.7,2.842,2.461,2.451,2.74,2.221,1.628,2.222,2.605,2.562,2.184,2.976,2.327,2.564,2.156,2.686,2.46,3.056,3.757,2.432,2.769,2.38246
