rh.aparc.thickness,rh_bankssts_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness
01_GE,2.545,2.819,2.323,1.777,3.385,2.615,2.304,2.526,2.295,2.111,2.487,1.86,2.45,2.789,2.7,2.392,2.396,2.45,2.44,1.409,2.069,2.571,2.428,2.25,3.177,2.148,2.537,2.01,2.564,2.296,2.804,3.146,2.445,2.951,2.33792
01_Ph,2.412,2.473,2.208,1.624,3.332,2.412,2.063,2.538,1.97,2.027,2.524,1.76,2.238,2.74,2.651,1.945,2.289,2.602,2.356,1.354,1.742,2.363,2.282,2.088,2.896,1.907,2.303,1.76,2.479,2.142,2.442,3.773,1.998,2.955,2.17626
01_Si,2.518,2.472,2.438,1.62,3.452,2.48,2.202,2.469,2.011,2.013,2.582,1.728,2.55,2.773,2.629,2.199,2.401,2.441,2.41,1.283,1.954,2.381,2.466,2.069,2.89,2.203,2.508,1.897,2.651,2.318,2.643,3.952,2.431,3.027,2.2918
02_GE,2.632,2.679,2.306,1.853,3.061,2.546,2.272,2.597,2.35,2.102,2.544,1.889,2.499,2.825,2.573,2.329,2.322,2.386,2.416,1.522,2.059,2.362,2.438,2.303,3.251,2.179,2.504,1.977,2.593,2.328,2.748,3.264,2.445,2.941,2.33812
02_Ph,2.397,2.532,2.201,1.615,3.284,2.407,1.993,2.427,1.996,1.93,2.456,1.713,2.398,2.731,2.762,2.02,2.197,2.468,2.241,1.368,1.752,2.26,2.276,2.055,3.023,2.005,2.362,1.743,2.529,2.149,2.568,3.79,2.466,2.944,2.17
02_Si,2.617,2.505,2.335,1.712,3.354,2.533,2.194,2.597,1.996,2.085,2.565,1.755,2.513,2.846,2.745,2.175,2.48,2.58,2.474,1.329,1.856,2.395,2.419,2.041,2.979,2.126,2.457,1.783,2.752,2.347,2.87,3.866,2.621,2.993,2.28523
03_GE,2.61,2.687,2.298,1.771,3.501,2.701,2.33,2.768,2.317,2.11,2.631,1.915,2.501,2.848,2.814,2.321,2.393,2.433,2.414,1.424,2.071,2.552,2.454,2.262,3.115,2.165,2.546,2.041,2.632,2.334,2.661,3.802,2.432,2.876,2.36962
03_Ph,2.43,2.626,2.167,1.691,3.426,2.435,2.05,2.53,2.085,1.977,2.538,1.762,2.351,2.732,2.825,2.022,2.227,2.56,2.323,1.418,1.821,2.195,2.338,2.07,3.063,2.019,2.301,1.776,2.573,2.133,2.622,3.786,2.34,2.881,2.19681
03_Si,2.553,2.527,2.354,1.706,3.604,2.613,2.29,2.501,2.019,2.122,2.625,1.849,2.435,2.839,2.731,2.072,2.346,2.483,2.493,1.39,1.966,2.36,2.228,2.122,2.795,2.06,2.432,1.881,2.739,2.343,2.592,3.848,2.519,2.81,2.29126
04_GE,2.539,2.648,2.322,1.738,3.469,2.64,2.267,2.618,2.285,2.174,2.468,1.78,2.325,2.767,2.746,2.218,2.355,2.316,2.364,1.419,2.056,2.409,2.399,2.192,3.096,2.146,2.459,1.968,2.631,2.241,2.649,3.453,2.336,2.732,2.30628
