rh.aparc.thickness,rh_bankssts_thickness,rh_caudalanteriorcingulate_thickness,rh_caudalmiddlefrontal_thickness,rh_cuneus_thickness,rh_entorhinal_thickness,rh_fusiform_thickness,rh_inferiorparietal_thickness,rh_inferiortemporal_thickness,rh_isthmuscingulate_thickness,rh_lateraloccipital_thickness,rh_lateralorbitofrontal_thickness,rh_lingual_thickness,rh_medialorbitofrontal_thickness,rh_middletemporal_thickness,rh_parahippocampal_thickness,rh_paracentral_thickness,rh_parsopercularis_thickness,rh_parsorbitalis_thickness,rh_parstriangularis_thickness,rh_pericalcarine_thickness,rh_postcentral_thickness,rh_posteriorcingulate_thickness,rh_precentral_thickness,rh_precuneus_thickness,rh_rostralanteriorcingulate_thickness,rh_rostralmiddlefrontal_thickness,rh_superiorfrontal_thickness,rh_superiorparietal_thickness,rh_superiortemporal_thickness,rh_supramarginal_thickness,rh_frontalpole_thickness,rh_temporalpole_thickness,rh_transversetemporal_thickness,rh_insula_thickness,rh_MeanThickness_thickness
01_GE.long.GE,2.571,2.841,2.383,1.836,3.82,2.665,2.39,2.541,2.317,2.186,2.455,2.004,2.393,2.846,2.815,2.381,2.416,2.46,2.471,1.606,2.168,2.549,2.539,2.35,3.233,2.184,2.552,2.094,2.647,2.382,2.73,3.593,2.476,2.902,2.40014
01_Ph.long.Ph,2.438,2.607,2.173,1.724,3.405,2.493,2.15,2.515,2.037,1.989,2.525,1.808,2.332,2.735,2.787,2.066,2.248,2.522,2.419,1.463,1.831,2.197,2.346,2.112,2.825,1.975,2.268,1.85,2.54,2.174,2.198,3.675,2.285,2.854,2.20946
01_Si.long.Si,2.543,2.663,2.471,1.723,3.756,2.603,2.322,2.481,2.028,2.109,2.563,1.799,2.537,2.757,2.768,2.298,2.444,2.447,2.525,1.407,2.068,2.44,2.527,2.17,2.87,2.186,2.572,2.004,2.73,2.369,2.767,3.595,2.499,2.931,2.34935
02_GE.long.GE,2.592,2.94,2.38,1.896,3.982,2.702,2.379,2.618,2.341,2.212,2.515,1.908,2.405,2.854,2.816,2.404,2.434,2.466,2.443,1.593,2.149,2.52,2.49,2.327,3.323,2.206,2.541,2.065,2.653,2.344,2.728,3.603,2.504,2.913,2.39953
02_Ph.long.Ph,2.462,2.777,2.289,1.712,3.429,2.482,2.119,2.503,2.085,1.997,2.604,1.828,2.493,2.796,2.79,2.098,2.324,2.521,2.404,1.487,1.901,2.316,2.337,2.135,2.915,2.119,2.407,1.875,2.624,2.229,2.342,3.716,2.531,2.913,2.26153
02_Si.long.Si,2.526,2.591,2.359,1.66,3.502,2.452,2.146,2.398,1.967,1.931,2.539,1.737,2.343,2.717,2.679,2.229,2.39,2.335,2.455,1.368,1.924,2.442,2.424,1.985,2.734,2.107,2.473,1.851,2.697,2.249,2.752,3.616,2.503,2.849,2.24377
03_GE.long.GE,2.613,2.862,2.409,1.841,3.854,2.798,2.418,2.621,2.225,2.189,2.568,1.899,2.402,2.858,2.873,2.431,2.443,2.452,2.472,1.443,2.172,2.532,2.51,2.342,3.189,2.225,2.555,2.111,2.69,2.387,2.763,3.602,2.488,2.874,2.41231
03_Ph.long.Ph,2.482,2.79,2.267,1.742,3.388,2.477,2.144,2.536,2.082,2.012,2.578,1.854,2.506,2.804,2.842,2.191,2.338,2.52,2.391,1.496,1.927,2.291,2.404,2.131,3.027,2.096,2.42,1.906,2.625,2.239,2.416,3.662,2.483,2.919,2.27462
03_Si.long.Si,2.642,2.642,2.365,1.791,3.678,2.636,2.365,2.517,1.967,2.159,2.534,1.832,2.385,2.835,2.751,2.245,2.41,2.294,2.476,1.525,2.061,2.364,2.477,2.184,2.753,2.082,2.484,2.023,2.743,2.369,2.668,3.677,2.411,2.848,2.33603
04_GE.long.GE,2.58,2.852,2.371,1.832,3.759,2.767,2.382,2.596,2.297,2.238,2.472,1.885,2.317,2.851,2.971,2.432,2.423,2.442,2.428,1.452,2.187,2.535,2.517,2.277,3.117,2.213,2.537,2.072,2.661,2.329,2.65,3.617,2.393,2.886,2.39236
04_Ph.long.Ph,2.432,2.721,2.259,1.771,3.387,2.506,2.169,2.537,2.046,2.027,2.558,1.849,2.464,2.791,2.813,2.153,2.299,2.468,2.387,1.508,1.928,2.294,2.382,2.137,2.946,2.096,2.431,1.912,2.616,2.216,2.274,3.676,2.453,2.854,2.26938
