lh.aparc.volume,lh_bankssts_volume,lh_caudalanteriorcingulate_volume,lh_caudalmiddlefrontal_volume,lh_cuneus_volume,lh_entorhinal_volume,lh_fusiform_volume,lh_inferiorparietal_volume,lh_inferiortemporal_volume,lh_isthmuscingulate_volume,lh_lateraloccipital_volume,lh_lateralorbitofrontal_volume,lh_lingual_volume,lh_medialorbitofrontal_volume,lh_middletemporal_volume,lh_parahippocampal_volume,lh_paracentral_volume,lh_parsopercularis_volume,lh_parsorbitalis_volume,lh_parstriangularis_volume,lh_pericalcarine_volume,lh_postcentral_volume,lh_posteriorcingulate_volume,lh_precentral_volume,lh_precuneus_volume,lh_rostralanteriorcingulate_volume,lh_rostralmiddlefrontal_volume,lh_superiorfrontal_volume,lh_superiorparietal_volume,lh_superiortemporal_volume,lh_supramarginal_volume,lh_frontalpole_volume,lh_temporalpole_volume,lh_transversetemporal_volume,lh_insula_volume
01_GE,1869.0,1211.0,5025.0,2299.0,1334.0,8302.0,11478.0,8525.0,2091.0,9205.0,6497.0,4866.0,4643.0,9470.0,2058.0,3125.0,4818.0,2065.0,2586.0,1826.0,8248.0,2774.0,10901.0,7172.0,1820.0,11381.0,19667.0,10946.0,8176.0,9152.0,913.0,2825.0,751.0,5670.0
01_Ph,1842.0,1048.0,4140.0,2151.0,1588.0,7290.0,9979.0,7489.0,1870.0,8293.0,6087.0,4889.0,3635.0,8788.0,1851.0,2738.0,4187.0,1947.0,2370.0,1749.0,6954.0,2593.0,9285.0,6374.0,1479.0,9208.0,17069.0,8938.0,7408.0,7410.0,764.0,2483.0,667.0,5500.0
01_Si,2051.0,1240.0,4528.0,2123.0,1619.0,7611.0,9817.0,8132.0,1717.0,7794.0,6396.0,4633.0,3898.0,8690.0,1948.0,2897.0,4292.0,1925.0,2682.0,1702.0,7944.0,2705.0,10468.0,6706.0,1812.0,11474.0,19273.0,9966.0,8417.0,8592.0,763.0,2497.0,732.0,5830.0
02_GE,1949.0,1208.0,4724.0,2376.0,1700.0,8249.0,10898.0,8799.0,2131.0,8617.0,6851.0,4975.0,4097.0,10940.0,1994.0,3117.0,4720.0,2047.0,2801.0,2012.0,8354.0,2760.0,11002.0,7240.0,1815.0,11744.0,19645.0,10921.0,7981.0,9230.0,969.0,2767.0,782.0,5796.0
02_Ph,1862.0,1140.0,4451.0,2203.0,1435.0,7569.0,9715.0,7965.0,2021.0,7829.0,6069.0,4788.0,3437.0,8975.0,1993.0,2859.0,4130.0,1883.0,2418.0,1813.0,7196.0,2632.0,9651.0,6432.0,1695.0,10114.0,17483.0,8977.0,7497.0,7717.0,717.0,2523.0,662.0,5551.0
02_Si,1713.0,1362.0,4417.0,2254.0,1411.0,7251.0,9812.0,8148.0,1940.0,8101.0,6390.0,4725.0,3780.0,9181.0,1919.0,3044.0,4424.0,2023.0,2633.0,1807.0,7715.0,2597.0,10407.0,6780.0,2003.0,11197.0,18243.0,9689.0,8592.0,8493.0,789.0,2605.0,738.0,5853.0
03_GE,1887.0,1179.0,4718.0,2449.0,1463.0,8480.0,10598.0,7944.0,2132.0,8371.0,6564.0,4923.0,4005.0,10379.0,2180.0,3092.0,4833.0,2074.0,2686.0,2121.0,8330.0,2796.0,10642.0,7184.0,1818.0,11808.0,19834.0,10861.0,8014.0,8707.0,739.0,2664.0,687.0,5723.0
03_Ph,2014.0,1210.0,4539.0,2273.0,1398.0,7579.0,10320.0,7551.0,2041.0,7981.0,6119.0,4738.0,3516.0,9066.0,2094.0,2963.0,4154.0,1858.0,2483.0,1753.0,7196.0,2550.0,9675.0,6507.0,1854.0,9914.0,17734.0,9157.0,7435.0,7815.0,681.0,2332.0,713.0,5380.0
03_Si,2114.0,1206.0,4306.0,2234.0,1393.0,8248.0,11101.0,7952.0,1858.0,8286.0,5975.0,4786.0,4060.0,9438.0,1926.0,2719.0,4506.0,2030.0,2766.0,1735.0,7501.0,2584.0,10163.0,6524.0,1622.0,10566.0,17808.0,10751.0,8369.0,9428.0,785.0,2425.0,689.0,5304.0
04_GE,2030.0,1139.0,4863.0,2518.0,1344.0,7672.0,11222.0,8332.0,2119.0,8774.0,6660.0,4698.0,4147.0,10071.0,2077.0,2962.0,4604.0,2032.0,2698.0,2061.0,8481.0,2790.0,10725.0,7076.0,1972.0,11537.0,19370.0,10597.0,8214.0,9310.0,777.0,2974.0,686.0,5571.0
04_Ph,1840.0,1181.0,4664.0,2223.0,1107.0,7543.0,9821.0,7842.0,2076.0,8167.0,6249.0,4869.0,3833.0,9202.0,2025.0,2927.0,4187.0,1883.0,2513.0,1828.0,7158.0,2494.0,9755.0,6603.0,1871.0,9957.0,17817.0,9206.0,7709.0,8268.0,713.0,2801.0,660.0,5640.0
04_Si,1997.0,1282.0,4810.0,2377.0,1454.0,7706.0,10951.0,8593.0,1934.0,9070.0,6237.0,4739.0,3770.0,9654.0,1928.0,2934.0,4729.0,2140.0,2711.0,1990.0,7859.0,2593.0,10456.0,6954.0,1846.0,10643.0,18887.0,10437.0,8758.0,9321.0,824.0,2687.0,791.0,6040.0
05_GE,1897.0,1212.0,4798.0,2368.0,1462.0,7611.0,12134.0,8440.0,2000.0,8916.0,6611.0,5001.0,3981.0,10085.0,2022.0,3112.0,4678.0,2228.0,2795.0,2021.0,8240.0,2864.0,10745.0,7242.0,1765.0,11541.0,19825.0,10968.0,8142.0,9178.0,817.0,2419.0,736.0,5781.0
05_Ph,1845.0,1079.0,4248.0,2233.0,1504.0,6975.0,9752.0,7544.0,2053.0,7912.0,5994.0,4797.0,3594.0,8810.0,1842.0,2868.0,4196.0,1882.0,2531.0,1824.0,7204.0,2661.0,9635.0,6418.0,1773.0,10153.0,17392.0,8845.0,7622.0,7838.0,722.0,3040.0,641.0,5374.0
06_GE,1730.0,1179.0,4682.0,2330.0,1572.0,8669.0,10979.0,8687.0,1980.0,8525.0,6689.0,4991.0,4495.0,9914.0,2233.0,3136.0,4624.0,2178.0,2726.0,1736.0,8417.0,2787.0,11067.0,7381.0,2005.0,11664.0,19343.0,10750.0,7755.0,9024.0,880.0,2820.0,705.0,5475.0
06_Si,1832.0,1303.0,4404.0,2354.0,1522.0,8160.0,10714.0,8100.0,1967.0,8912.0,6132.0,4895.0,3571.0,9511.0,1907.0,2905.0,4453.0,2045.0,2724.0,2000.0,7617.0,2660.0,10246.0,6622.0,1882.0,10594.0,17783.0,10389.0,8596.0,8917.0,825.0,2643.0,762.0,5814.0
