rh.aparc.volume,rh_bankssts_volume,rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,rh_cuneus_volume,rh_entorhinal_volume,rh_fusiform_volume,rh_inferiorparietal_volume,rh_inferiortemporal_volume,rh_isthmuscingulate_volume,rh_lateraloccipital_volume,rh_lateralorbitofrontal_volume,rh_lingual_volume,rh_medialorbitofrontal_volume,rh_middletemporal_volume,rh_parahippocampal_volume,rh_paracentral_volume,rh_parsopercularis_volume,rh_parsorbitalis_volume,rh_parstriangularis_volume,rh_pericalcarine_volume,rh_postcentral_volume,rh_posteriorcingulate_volume,rh_precentral_volume,rh_precuneus_volume,rh_rostralanteriorcingulate_volume,rh_rostralmiddlefrontal_volume,rh_superiorfrontal_volume,rh_superiorparietal_volume,rh_superiortemporal_volume,rh_supramarginal_volume,rh_frontalpole_volume,rh_temporalpole_volume,rh_transversetemporal_volume,rh_insula_volume
01_GE,1865.0,2278.0,3945.0,2605.0,1154.0,7159.0,13968.0,6552.0,1817.0,7864.0,6670.0,5646.0,4062.0,10767.0,2001.0,3508.0,2832.0,2455.0,3385.0,1906.0,7590.0,2778.0,10066.0,7193.0,1814.0,12627.0,18037.0,10414.0,8199.0,9622.0,1182.0,2550.0,515.0,5446.0
01_Ph,1625.0,1723.0,3584.0,2364.0,1231.0,5584.0,12464.0,6617.0,1798.0,8034.0,6489.0,5623.0,3912.0,10373.0,1777.0,2389.0,2638.0,2617.0,2929.0,1786.0,6450.0,2419.0,9085.0,7668.0,1580.0,10266.0,15823.0,9067.0,8420.0,8853.0,947.0,2560.0,448.0,5338.0
01_Si,1821.0,2157.0,4000.0,2268.0,1235.0,6578.0,12991.0,6000.0,1678.0,7932.0,6010.0,5341.0,4397.0,9957.0,1687.0,3412.0,2897.0,2800.0,3086.0,1622.0,7188.0,2643.0,9725.0,6719.0,1647.0,12288.0,17613.0,9696.0,8966.0,9476.0,954.0,2696.0,571.0,5820.0
02_GE,1916.0,2212.0,3973.0,2675.0,794.0,6916.0,14152.0,6493.0,1939.0,8566.0,6544.0,5703.0,3925.0,11004.0,2071.0,3062.0,2853.0,2546.0,3336.0,1973.0,7698.0,2394.0,10090.0,7985.0,1685.0,12619.0,17805.0,10382.0,8962.0,9814.0,1170.0,2647.0,548.0,5471.0
02_Ph,1694.0,2119.0,3692.0,2391.0,1133.0,6428.0,12093.0,6347.0,1931.0,7890.0,6010.0,5481.0,3953.0,9940.0,1881.0,2500.0,2657.0,2533.0,2803.0,1810.0,6572.0,2397.0,9195.0,7744.0,1619.0,11088.0,16271.0,9015.0,8559.0,8821.0,907.0,2564.0,562.0,5484.0
02_Si,2050.0,2150.0,3778.0,2610.0,1318.0,5883.0,13564.0,6284.0,1673.0,8361.0,6013.0,5394.0,4485.0,10304.0,1785.0,3436.0,2879.0,2715.0,3087.0,1800.0,6860.0,2584.0,9363.0,6422.0,1623.0,12082.0,17030.0,8791.0,9055.0,9357.0,938.0,2504.0,624.0,5896.0
03_GE,1958.0,2162.0,4013.0,2640.0,1131.0,7254.0,14272.0,7481.0,1759.0,8376.0,6756.0,5636.0,4547.0,10551.0,2108.0,3592.0,2805.0,2666.0,3325.0,1894.0,7709.0,2795.0,10192.0,7319.0,1890.0,12693.0,17818.0,10194.0,9254.0,9489.0,985.0,2683.0,603.0,5377.0
03_Ph,1768.0,2117.0,3716.0,2612.0,1290.0,6781.0,12360.0,6458.0,1902.0,7877.0,6106.0,5538.0,4187.0,10181.0,1851.0,2438.0,2758.0,2582.0,2942.0,1952.0,6908.0,2336.0,9171.0,7920.0,1670.0,11134.0,15831.0,9074.0,8653.0,8638.0,899.0,1790.0,452.0,5317.0
03_Si,2001.0,2106.0,3613.0,2591.0,1329.0,6600.0,14140.0,5507.0,1577.0,8834.0,5750.0,5871.0,4120.0,10699.0,1845.0,3065.0,2808.0,2627.0,3154.0,1971.0,6040.0,2455.0,10055.0,6539.0,1643.0,11445.0,16741.0,8890.0,9094.0,9447.0,1052.0,2112.0,613.0,6176.0
04_GE,2102.0,2150.0,4102.0,2427.0,1221.0,7355.0,14502.0,6281.0,1778.0,8515.0,6519.0,5624.0,3875.0,10599.0,1963.0,2935.0,2885.0,2522.0,3253.0,2066.0,7686.0,2594.0,9891.0,7934.0,1755.0,12581.0,17730.0,10487.0,9191.0,9689.0,911.0,2570.0,577.0,5820.0
04_Ph,1692.0,1979.0,3803.0,2609.0,1310.0,5849.0,12686.0,6524.0,2054.0,7997.0,6500.0,5565.0,4152.0,10656.0,1942.0,2411.0,2691.0,2651.0,3011.0,1849.0,6713.0,2293.0,9441.0,7949.0,1569.0,11012.0,16514.0,9258.0,8742.0,8826.0,814.0,2375.0,599.0,5584.0
04_Si,2170.0,2221.0,3828.0,2766.0,1271.0,6460.0,14589.0,6023.0,1717.0,9098.0,6131.0,5878.0,4556.0,10596.0,1860.0,3353.0,2887.0,2637.0,3239.0,2026.0,7278.0,2778.0,9609.0,6935.0,1702.0,12056.0,17131.0,9894.0,9259.0,9932.0,1091.0,2423.0,586.0,6251.0
05_GE,2050.0,2235.0,3968.0,2679.0,980.0,7285.0,14555.0,6343.0,1844.0,8399.0,6377.0,5724.0,3880.0,10322.0,1858.0,3019.0,2801.0,2467.0,3271.0,2022.0,7612.0,2430.0,10118.0,7974.0,1695.0,12652.0,17454.0,10177.0,9450.0,9600.0,986.0,2146.0,526.0,5776.0
05_Ph,1770.0,1907.0,3657.0,2446.0,1167.0,6888.0,12021.0,6102.0,1908.0,7277.0,6562.0,5497.0,3905.0,10111.0,1971.0,2479.0,2749.0,2581.0,2838.0,1921.0,6614.0,2397.0,9193.0,7692.0,1596.0,11012.0,15938.0,9039.0,8688.0,9111.0,876.0,2230.0,453.0,5531.0
06_GE,1843.0,2037.0,3982.0,2737.0,1412.0,6456.0,14250.0,6760.0,1846.0,8881.0,6317.0,5702.0,3987.0,11096.0,1959.0,2955.0,2796.0,2499.0,3103.0,1865.0,7844.0,2537.0,10073.0,8199.0,1723.0,12651.0,17732.0,10006.0,9627.0,9607.0,892.0,2304.0,551.0,5833.0
06_Si,2118.0,2118.0,3779.0,2583.0,1459.0,6376.0,14348.0,6138.0,1705.0,8740.0,5873.0,5597.0,4396.0,10630.0,1812.0,3242.0,2881.0,2753.0,3104.0,2089.0,7147.0,2512.0,9265.0,6648.0,1545.0,11634.0,16755.0,10038.0,9013.0,9464.0,1070.0,2509.0,634.0,5845.0
