Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCorticalWhiteMatterVol,rhCorticalWhiteMatterVol,CorticalWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
01_GE,9643.6,513.1,12487.5,42675.4,5463.7,3072.2,5026.9,1226.5,1235.1,2464.3,16162.3,3748.7,1215.8,1413.5,519.6,3200.2,60.5,1209.9,8374.1,614.8,12265.6,44727.5,4893.1,3047.3,4332.7,1267.5,3835.6,1445.4,426.4,2795.1,83.2,1442.3,0.0,814.9,0.0,0.0,18.9,0.0,0.0,204.1,690.0,438.5,538.2,394.6,815.7,910206.0,883429.0,883022.468168,192416.957069,189170.30668,381587.26375,173704.874864,169574.329554,343279.204418,47352.0,516127.26375,794986.468168,773264.468168,772533.0,1340177.0,0.705167,1.03828,53.0,53.0,106.0,1290766.69324
01_Ph,10236.7,624.1,12000.1,36530.8,4991.7,2941.7,5038.4,1339.0,1198.7,2682.6,16274.6,3577.5,1288.7,1223.1,408.3,2880.0,106.0,1125.2,8915.6,812.0,11646.4,37745.9,4518.6,3044.5,4494.1,1264.3,3506.3,1453.6,401.3,2916.3,124.1,1469.2,0.0,1343.8,0.0,0.0,21.2,0.0,0.0,237.9,674.0,328.5,325.1,292.2,773.0,860313.0,832146.0,831722.12609,167874.437494,172808.665452,340683.102946,175520.381417,174706.641727,350227.023144,45464.0,458879.102946,760723.12609,737474.12609,736787.0,1322786.0,0.71156,1.094068,19.0,21.0,40.0,1209052.36664
01_Si,9719.3,518.2,13198.2,40796.2,5473.5,2925.8,4493.5,1296.6,1260.2,2503.0,16120.6,3703.5,1232.5,1352.8,364.8,3177.7,67.2,1475.0,8610.5,659.8,12715.3,42335.4,4964.1,2920.8,3802.7,1185.9,3499.0,1245.8,403.6,3214.6,70.6,1655.7,0.0,925.3,0.0,0.0,19.2,0.0,0.0,186.8,664.4,364.3,360.3,308.3,765.0,897660.0,869959.0,869818.529414,181544.406106,182982.016499,364526.422605,177112.389641,175404.717168,352517.106809,45264.0,492662.422605,786004.529414,763334.529414,762365.0,1407599.0,0.937523,1.470107,38.0,23.0,61.0,957480.923292
02_GE,9783.2,430.7,12004.8,42861.4,5958.2,3168.4,4895.8,1111.4,1243.4,2498.5,16383.9,3773.9,1315.2,1294.9,384.7,3080.3,65.3,1029.3,8258.1,468.9,12548.1,44694.2,4874.1,3001.7,4321.6,1100.3,3927.1,1525.3,468.3,2924.6,86.6,1465.5,0.0,825.6,0.0,0.0,15.4,0.0,0.0,198.9,681.7,416.0,521.5,361.0,838.2,909061.0,882717.0,882544.346806,193711.620899,191247.294815,384958.915713,171340.704171,168157.726922,339498.431093,47434.0,519581.915713,794329.346806,772936.346806,771994.0,1336072.0,0.705222,1.036485,57.0,45.0,102.0,1289041.53824
02_Ph,10560.6,673.9,11842.2,36657.9,4820.1,2996.0,5014.1,1297.9,1181.7,2494.7,16593.9,3485.0,1385.2,1241.5,428.9,3047.7,104.6,1081.0,9054.0,860.1,11466.5,38200.6,4410.8,3126.8,4763.4,1383.8,3498.7,1442.4,460.8,3007.0,118.9,1603.1,0.0,1200.3,0.0,0.0,21.5,0.0,0.0,280.7,702.1,332.9,332.1,271.1,753.7,865366.0,836713.0,835892.235569,171922.188585,174840.381477,346762.570062,174253.863565,173311.801942,347565.665507,46065.0,466217.570062,765339.235569,741411.235569,741155.0,1317074.0,0.731118,1.112751,16.0,21.0,37.0,1183619.44842
02_Si,9793.6,591.2,12320.0,41000.2,5793.4,2959.4,4620.7,1206.4,1283.0,2592.4,16925.7,3659.5,1258.6,1316.2,293.1,3288.9,58.9,1286.6,8829.1,756.3,12419.1,43583.1,4921.7,3001.5,3929.3,1246.2,3462.3,1285.3,413.5,2935.7,65.7,1583.3,0.0,1153.8,0.0,0.0,28.4,0.0,0.0,231.8,678.5,374.6,373.1,298.8,738.2,895666.0,867828.0,867489.971411,181340.414479,181909.889503,363250.303982,175411.301499,175463.36593,350874.66743,45524.0,493378.303982,783415.971411,760658.971411,759836.0,1422786.0,0.785569,1.247894,27.0,26.0,53.0,1140149.75645
03_GE,9911.5,554.6,12408.4,42858.3,5657.7,3169.5,4871.3,1261.6,1266.0,2430.8,16072.3,3827.2,1425.8,1344.4,486.0,3184.3,68.2,1232.5,8431.0,601.7,12516.2,45089.4,4864.4,2984.0,4465.5,1231.7,3900.5,1608.9,432.5,2884.0,42.3,1514.5,0.0,796.1,0.0,0.0,10.4,0.0,0.0,251.5,663.8,424.3,506.9,372.1,836.9,910949.0,883699.0,883378.23992,191631.075744,192787.058613,384418.134357,170363.628665,169135.476898,339499.105563,47946.0,519948.134357,795171.23992,772898.23992,772009.0,1338314.0,0.704979,1.035715,47.0,40.0,87.0,1292163.91817
03_Ph,10493.7,694.1,12206.6,36949.1,4857.4,3027.7,5114.2,1338.7,1222.7,2602.5,15821.1,3487.8,1447.4,1289.9,399.1,2907.7,101.0,1107.3,9086.4,856.1,12756.8,38372.8,4510.1,3072.4,4533.2,1283.2,3568.2,1598.5,451.7,2926.8,116.1,1489.3,0.0,1245.8,0.0,0.0,18.9,0.0,0.0,221.5,692.4,328.9,325.1,277.1,762.4,872331.0,843555.0,842880.34013,173307.025975,175879.645778,349186.671753,175958.349302,173452.319075,349410.668377,46087.0,469527.671753,769644.34013,745780.34013,745347.0,1330815.0,0.72462,1.105469,19.0,21.0,40.0,1203846.34903
03_Si,9568.4,552.5,12407.6,41941.1,5660.6,2861.5,4620.4,1285.1,1260.0,2509.5,17089.5,3792.8,1424.6,1302.0,339.7,3239.1,60.6,1549.3,8355.4,657.9,13150.1,44064.6,4944.5,2854.1,3953.8,1256.1,3466.5,1371.9,385.1,3010.4,90.4,1810.6,1.0,923.3,0.0,0.0,18.8,0.0,0.0,224.4,641.3,379.5,369.2,285.7,776.4,894907.0,867437.0,866852.362524,181743.633611,181526.521425,363270.155037,175077.012796,173072.194691,348149.207487,45785.0,494432.155037,780726.362524,758210.362524,757672.0,1388556.0,0.898077,1.393475,34.0,26.0,60.0,996469.685927
04_GE,9683.7,521.9,11966.5,41926.2,5969.7,3063.2,5247.8,1182.7,1235.6,2437.9,16076.9,3910.4,1596.1,1487.1,379.9,3148.3,72.4,1260.0,8349.5,557.7,11974.4,44679.0,4817.4,3045.0,3890.4,1221.7,3974.2,1556.6,404.7,2848.4,30.1,1636.8,0.0,624.5,0.0,0.0,12.3,0.0,0.0,279.1,689.8,434.7,549.0,379.7,819.3,914275.0,887284.0,886829.253532,190817.727258,190938.233471,381755.960729,173649.909368,174467.383435,348117.292803,47862.0,516121.960729,800756.253532,778808.253532,777977.0,1334595.0,0.708763,1.034602,60.0,51.0,111.0,1289959.23416
