Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCorticalWhiteMatterVol,rhCorticalWhiteMatterVol,CorticalWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,EstimatedTotalIntraCranialVol
01_GE.long.GE,9626.8,537.8,12023.2,42076.9,6011.5,3212.8,5353.4,1126.5,1251.2,2555.6,16547.5,3746.0,1305.8,1354.2,444.7,3189.2,72.2,1354.8,8626.6,556.3,12069.5,44664.5,4973.9,3139.3,4415.7,1255.7,3892.4,1587.1,443.9,2893.9,93.0,1682.5,0.0,477.6,0.0,0.0,20.9,0.0,0.0,301.6,668.3,432.6,550.6,388.2,831.9,920264.0,892446.0,892004.177935,199660.185623,198541.421394,398201.607017,169860.975427,165865.595491,335726.570918,48543.0,532933.607017,806324.177935,783605.177935,782745.0,1385142.0,0.713025,1.073214,1290648.13471
01_Ph.long.Ph,10473.0,641.1,12349.6,35399.7,5052.0,3026.8,5257.1,1340.7,1244.3,2629.4,16568.9,3472.3,1413.2,1245.5,419.7,2953.2,134.9,1158.4,9540.5,860.2,12476.4,36776.8,4548.7,3079.6,4646.3,1403.8,3447.9,1497.1,460.1,2940.7,124.0,1429.6,0.0,1171.7,0.0,0.0,18.1,0.0,0.0,304.9,670.5,330.7,332.9,273.1,775.7,866302.0,836897.0,836745.716422,176039.555718,178621.157125,354660.712843,171380.54256,169676.461018,341057.003579,46324.0,471625.712843,767498.716422,743074.716422,742155.0,1367681.0,0.734369,1.159391,1179654.40547
01_Si.long.Si,9693.6,582.9,12231.5,40367.1,5728.9,3059.0,4835.0,1320.8,1274.2,2614.0,16568.1,3697.5,1269.5,1262.2,360.0,3320.8,68.6,1659.2,8984.5,641.2,12531.2,42623.7,4969.3,3069.3,3913.9,1228.2,3488.3,1340.4,448.6,3098.3,88.1,1911.0,0.0,810.0,0.0,0.0,23.2,0.0,0.0,276.5,694.5,371.1,331.3,311.0,746.1,897169.0,868285.0,867777.288011,188598.560756,191236.396382,379834.957139,167460.122136,168331.208736,335791.330873,46283.0,508217.957139,786766.288011,763003.288011,762281.0,1465626.0,0.854666,1.396193,1049730.00703
02_GE.long.GE,9584.1,441.4,12264.9,41950.6,6054.2,3326.2,5291.3,1124.0,1238.8,2494.0,16625.8,3726.6,1300.5,1328.4,424.4,3137.4,70.6,1322.7,8557.5,511.4,12482.2,44533.2,4994.4,3098.3,4486.8,1235.1,3911.7,1626.4,463.2,2940.0,80.7,1676.5,0.0,585.1,0.0,0.0,19.6,0.0,0.0,299.4,680.6,426.4,495.6,364.3,831.5,923443.0,896005.0,895458.540988,199468.296676,199331.020469,398799.317144,170342.458648,167356.765196,337699.223844,48751.0,533809.317144,808870.540988,786440.540988,785609.0,1384525.0,0.715488,1.072736,1290648.13471
02_Ph.long.Ph,10535.0,629.9,12469.5,35735.8,4998.8,3125.5,5233.3,1356.2,1223.2,2674.0,16706.0,3525.1,1402.6,1238.0,411.5,3012.5,104.7,1154.9,9505.8,854.2,12547.9,36805.4,4562.3,3126.7,4718.3,1414.0,3423.7,1562.6,464.3,2978.4,131.8,1443.7,0.0,1104.9,0.0,0.0,9.4,0.0,0.0,319.2,697.6,352.0,336.1,282.6,768.4,870655.0,841327.0,840834.603196,179755.036438,184253.373588,364008.410026,167791.885121,167141.308049,334933.19317,46629.0,481593.410026,770918.603196,746585.603196,745988.0,1367681.0,0.738059,1.159391,1179654.40547
02_Si.long.Si,9882.6,609.8,12568.1,40153.3,5746.9,3023.0,4884.6,1340.3,1297.8,2656.5,16819.1,3613.1,1219.0,1342.7,348.2,3249.5,76.2,1573.4,9282.4,731.2,12638.2,42793.2,5004.5,3082.5,4034.7,1224.6,3423.0,1310.8,433.8,3071.7,78.3,1712.6,0.0,931.4,0.0,0.0,32.5,0.0,0.0,249.6,670.8,366.6,343.3,278.1,739.6,894295.0,864652.0,864285.464762,184538.846384,184245.116134,368783.962518,171445.813147,171302.689097,342748.502244,46234.0,497505.962518,783224.464762,758925.464762,758015.0,1463510.0,0.851929,1.394178,1049730.00703
03_GE.long.GE,9854.7,543.1,12254.6,42000.5,5888.7,3281.3,5228.8,1166.0,1251.4,2506.7,16526.8,3745.1,1394.4,1352.7,423.6,3181.7,68.1,1356.0,8665.5,542.8,12107.9,44978.3,4965.5,3078.0,4528.9,1241.1,3926.4,1640.5,430.1,2969.4,81.3,1764.8,0.0,567.3,0.0,0.0,17.4,0.0,0.0,280.7,679.8,430.9,499.5,384.0,835.3,919150.0,891098.0,890781.578792,198571.48663,198837.815187,397409.301818,167277.550441,167131.726533,334409.276974,48775.0,532720.301818,804727.578792,781717.578792,780744.0,1385089.0,0.712162,1.073173,1290648.13471
03_Ph.long.Ph,10477.6,635.7,12511.0,35692.1,4979.1,3131.6,5250.6,1335.9,1228.7,2631.1,16546.3,3531.4,1438.9,1211.1,409.9,3006.0,113.1,1159.9,9490.4,842.5,12826.6,36825.1,4546.3,3144.1,4632.4,1327.4,3456.2,1629.9,439.6,2951.2,124.1,1453.2,0.0,1016.1,0.0,0.0,5.7,0.0,0.0,293.1,679.4,333.2,341.8,304.3,780.5,875907.0,846707.0,846248.860515,182156.002566,185057.23274,367213.235306,169591.800705,167230.824504,336822.625209,46581.0,484822.235306,775922.860515,751625.860515,751038.0,1367681.0,0.742512,1.159391,1179654.40547
03_Si.long.Si,9700.9,598.0,12618.7,41905.6,5753.6,2977.7,4761.9,1292.2,1286.4,2636.3,16993.9,3648.2,1281.1,1326.6,365.3,3271.8,71.9,1616.6,8845.0,660.3,12669.2,44505.9,4961.8,2988.1,4015.9,1234.0,3486.4,1334.5,427.6,3087.8,102.0,1958.3,0.0,678.8,0.0,0.0,16.8,0.0,0.0,266.7,685.2,396.7,367.2,274.4,754.5,899061.0,869971.0,869585.375577,188905.793112,189170.246267,378076.039379,169128.32174,166393.014458,335521.336198,46076.0,509701.039379,784623.375577,760808.375577,759946.0,1466980.0,0.856469,1.397483,1049730.00703
04_GE.long.GE,9668.3,481.8,12179.2,41781.1,5924.3,3200.8,5202.3,1134.9,1229.7,2535.0,16450.1,3790.2,1408.8,1381.0,409.2,3191.4,70.5,1438.8,8589.3,511.8,12580.7,44583.1,4894.6,3118.6,4332.3,1247.3,3902.1,1619.2,432.9,2856.7,83.4,1778.2,0.0,478.0,0.0,0.0,10.7,0.0,0.0,271.9,697.0,455.8,531.1,389.7,834.5,921442.0,893656.0,893311.921587,199852.206883,198645.652145,398497.859028,169378.194907,167066.867652,336445.062559,48277.0,532867.859028,807129.921587,784405.921587,783423.0,1385174.0,0.713937,1.073239,1290648.13471
